Route_Link,Route_Name,Bus_names,Departingtime,Total_duration,Boardingtime,Star_Ratings,Prices,Seats_Available,Bus_type
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),SHYAMOLI Pvt. Ltd.(Karunamoyee),16:00,04h 00m,20:00,4.0,INR 486,24 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,16:00,03h 15m,19:15,4.5,INR 486,21 Seats available,Volvo 9600 Multi Axle Semi-Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,16:40,04h 00m,20:40,4.1,INR 486,22 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline (Karunamoyee),16:45,04h 00m,20:45,4.3,INR 486,31 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),SHYAMOLI Pvt. Ltd.(Karunamoyee),17:30,04h 00m,21:30,4.4,INR 486,34 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline (Karunamoyee),18:00,04h 00m,22:00,4.3,INR 486,34 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Lokenath Bus Service,18:00,03h 30m,21:30,3.9,486,40 Seats available,Volvo Multi Axle B11R AC Seater\Sleeper (2+1)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,18:05,04h 00m,22:05,4.4,INR 486,36 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Shyamoli Paribahan Pvt Ltd,18:40,03h 45m,22:25,4.1,INR 486,30 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Royal Cruiser,19:30,03h 45m,23:15,3.6,INR 500,23 Seats available,Volvo A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Aitiana Airwings,20:30,03h 50m,00:20,4.0,INR 650,28 Seats available,A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Maharani Travels,16:30,04h 15m,20:45,2.5,720,12 Seats available,NON AC Seater / Sleeper 2+1
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Maharani Express,17:00,03h 30m,20:30,2.1,675,10 Seats available,NON A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Pariwartan Bus Service,18:30,04h 30m,23:00,,INR 500,54 Seats available,NON A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Maharani Travels,21:05,04h 25m,01:30,2.5,675,16 Seats available,A/C Seater / Sleeper (2+1)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Greenline,20:00,03h 58m,23:58,4.4,INR 1150,6 Seats available,Volvo 9600 A/C Seater/Sleeper (2+1)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Maharani Express,15:30,04h 00m,19:30,2.1,900,7 Seats available,A/C Seater / Sleeper (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-durgapur,Kolkata to Durgapur (West Bengal),Maharani Express,19:30,04h 00m,23:30,2.1,1080,32 Seats available,Tata A/C Seater Executive Luxury (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Gogol City Service,12:50,02h 45m,15:35,3.9,INR 165,55 Seats available,AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Gogol City Service,13:30,02h 45m,16:15,4.5,INR 165,51 Seats available,AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Satadal Travels,14:55,03h 20m,18:15,4.0,167,40 Seats available,A/C Seater (2+2)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Diamond City Service,15:10,03h 45m,18:55,4.5,INR 184,40 Seats available,A/C Executive (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Droupadi City Service,15:20,02h 50m,18:10,3.7,INR 200,60 Seats available,A/C Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Droupadi Bus Service,16:20,02h 50m,19:10,3.4,INR 131,54 Seats available,Non AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Droupadi Bus Service,16:20,03h 55m,20:15,3.4,INR 149,54 Seats available,A/C Seater Push Back (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Monikanchan Bus Service,16:40,04h 00m,20:40,3.2,INR 130,52 Seats available,Non AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,Swapna Paribahan,16:55,04h 30m,21:25,4.0,INR 144.21,25 Seats available,Non AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-haldia,Kolkata to Haldia,KRISHNAKALI,14:45,02h 45m,17:30,2.7,INR 165,59 Seats available,A/C Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-midnapore,Kolkata to Midnapore,WBTC (CTC) Barasat-Midnapur - 208|16:25,16:25,01h 50m,18:15,1.9,INR 105,38 Seats available,Non AC Seater (2+3)
https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),SBSTC-KOLKATA -ARAMBAG 09:30 A.M (ARAM DEPOT) - KOLNS2-D/09-30,09:30,01h 59m,11:29,3.4,INR 95,49 Seats available,Express(Non AC Seater)
https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),SBSTC-KOLKATA -ARAMBAG 10:30 A.M (ARAM DEPOT) - KOLNS3-D/10-30,10:30,01h 59m,12:29,2.9,INR 95,49 Seats available,Express(Non AC Seater)
https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),SBSTC-KOLKATA-ARAMBAG 11:00 A.M (ARAM DEPOT) - DIGHANH-1-D/14-00,11:00,02h 00m,13:00,3.4,INR 77,52 Seats available,Express(Non AC Seater)
https://www.redbus.in/bus-tickets/kolkata-to-arambagh-west-bengal,Kolkata to Arambagh (West Bengal),SBSTC-KOLKATA-ARAMBAGH 11:30 A.M (ARAM DEPOT) - KOL N/H-1-D/11-30,11:30,01h 59m,13:29,3.4,INR 95,52 Seats available,Express(Non AC Seater)
